iter	Passed	Remaining
455	966	1152
456	968	1151
457	970	1148
458	972	1146
459	973	1143
460	975	1140
461	976	1137
462	978	1134
463	980	1132
464	982	1130
465	984	1127
466	985	1124
467	987	1121
468	988	1119
469	990	1116
470	991	1114
471	994	1112
472	996	1110
473	997	1107
474	999	1104
475	1000	1101
476	1001	1098
477	1003	1095
478	1004	1092
479	1006	1090
480	1009	1089
481	1011	1086
482	1013	1084
483	1014	1081
484	1016	1079
485	1017	1076
486	1019	1073
487	1020	1070
488	1022	1068
489	1023	1065
490	1025	1063
491	1027	1060
492	1029	1058
493	1030	1056
494	1032	1053
495	1033	1050
496	1034	1047
497	1036	1044
498	1038	1042
499	1039	1039
500	1041	1037
501	1043	1034
502	1044	1032
503	1046	1029
504	1047	1027
505	1050	1025
506	1051	1022
507	1053	1020
508	1054	1017
509	1056	1014
510	1057	1011
511	1058	1009
512	1060	1006
513	1062	1004
514	1064	1002
515	1067	1001
516	1068	998
517	1070	995
518	1071	993
519	1072	990
520	1074	987
521	1075	984
522	1077	982
523	1079	980
524	1081	978
525	1083	976
526	1085	974
527	1086	971
528	1088	968
529	1089	966
530	1091	963
531	1092	961
532	1094	959
533	1096	956
534	1098	954
535	1099	952
536	1101	949
537	1102	947
538	1104	944
539	1105	941
540	1107	939
541	1110	938
542	1116	939
543	1119	938
544	1120	935
545	1122	933
546	1124	931
547	1126	928
548	1128	926
549	1132	926
550	1134	924
551	1136	922
552	1140	921
553	1142	919
554	1144	917
555	1146	915
556	1148	913
557	1149	910
558	1151	908
559	1155	907
560	1157	905
561	1159	903
562	1161	901
563	1163	899
564	1164	896
565	1166	894
566	1170	893
567	1172	891
568	1173	889
569	1177	888
570	1179	885
571	1181	884
572	1185	883
573	1187	880
574	1188	878
575	1190	876
576	1192	873
577	1193	871
578	1195	869
579	1199	868
580	1201	866
581	1203	864
582	1205	861
583	1206	859
584	1208	857
585	1209	854
586	1211	852
587	1213	850
588	1215	848
589	1217	845
590	1218	843
591	1220	841
592	1221	838
593	1223	836
594	1226	835
595	1229	833
596	1231	831
597	1233	828
598	1234	826
599	1236	824
600	1237	821
601	1239	819
602	1241	817
603	1242	814
604	1244	812
605	1246	810
606	1248	808
607	1249	805
608	1250	803
609	1252	800
610	1253	798
611	1256	796
612	1258	794
613	1260	792
614	1262	790
615	1263	787
616	1265	785
617	1266	782
618	1268	780
619	1270	778
620	1272	776
621	1273	774
622	1275	771
623	1276	769
624	1278	767
625	1279	764
626	1281	762
627	1283	760
628	1285	758
629	1286	755
630	1288	753
631	1289	750
632	1291	748
633	1293	746
634	1294	744
635	1295	741
636	1297	739
637	1300	737
638	1301	735
639	1302	732
640	1304	730
641	1305	728
642	1307	725
643	1308	723
644	1310	721
645	1312	719
646	1313	716
647	1315	714
648	1317	712
649	1319	710
650	1320	707
651	1321	705
652	1323	703
653	1324	700
654	1326	698
655	1328	696
656	1330	694
657	1331	692
658	1333	690
659	1334	687
660	1336	685
661	1337	682
662	1339	680
663	1340	678
664	1342	676
665	1344	674
666	1346	672
667	1347	669
668	1349	667
669	1350	665
670	1351	662
671	1353	660
672	1355	658
673	1357	656
674	1358	654
675	1360	652
676	1361	649
677	1363	647
678	1364	645
679	1365	642
680	1367	640
681	1368	638
682	1371	636
683	1372	634
684	1374	631
685	1375	629
686	1376	627
687	1378	625
688	1379	622
689	1380	620
690	1382	618
691	1383	615
692	1386	614
693	1388	612
694	1390	610
695	1391	607
696	1393	605
697	1394	603
698	1396	601
699	1397	599
700	1399	596
701	1401	595
702	1403	592
703	1405	590
704	1406	588
705	1407	586
706	1409	584
707	1410	581
708	1411	579
709	1413	577
710	1415	575
711	1416	573
712	1418	570
713	1419	568
714	1421	566
715	1422	564
716	1424	562
717	1425	559
718	1427	557
719	1429	555
720	1430	553
721	1432	551
722	1433	549
723	1435	547
724	1436	544
725	1438	542
726	1439	540
727	1440	538
728	1444	536
729	1445	534
730	1446	532
731	1448	530
732	1449	528
733	1451	525
734	1452	523
735	1453	521
736	1454	519
737	1456	517
738	1458	515
739	1459	512
740	1461	510
741	1463	508
742	1464	506
743	1465	504
744	1467	502
745	1468	499
746	1469	497
747	1473	496
748	1475	494
749	1476	492
750	1478	490
751	1479	487
752	1480	485
753	1481	483
754	1483	481
755	1485	479
756	1487	477
757	1488	475
758	1490	473
759	1492	471
760	1493	469
761	1494	466
762	1495	464
763	1497	462
764	1498	460
765	1502	459
766	1504	456
767	1506	454
768	1507	452
769	1509	450
770	1510	448
771	1511	446
772	1513	444
773	1517	442
774	1518	440
775	1520	438
776	1521	436
777	1523	434
778	1524	432
779	1525	430
780	1527	428
781	1528	426
782	1530	424
783	1532	422
784	1533	420
785	1535	418
786	1537	415
787	1538	413
788	1539	411
789	1541	409
790	1542	407
791	1544	405
792	1546	403
793	1547	401
794	1548	399
795	1550	397
796	1552	395
797	1553	393
798	1555	391
799	1556	389
800	1558	387
801	1561	385
802	1562	383
803	1564	381
804	1565	379
805	1567	377
806	1568	375
807	1569	373
808	1571	370
809	1573	369
810	1574	367
811	1576	365
812	1578	363
813	1579	360
814	1581	358
815	1582	356
816	1584	354
817	1585	352
818	1588	350
819	1589	348
820	1590	346
821	1592	344
822	1593	342
823	1595	340
824	1596	338
825	1597	336
826	1598	334
827	1599	332
828	1610	332
829	1611	330
830	1612	327
831	1614	325
832	1615	323
833	1617	321
834	1619	319
835	1620	317
836	1622	315
837	1623	313
838	1625	311
839	1626	309
840	1627	307
841	1629	305
842	1631	303
843	1633	301
844	1635	299
845	1636	297
846	1638	295
847	1639	293
848	1640	291
